n_train,width,lr,weight_decay,x_low,x_high,time_pressure,loss_low,loss_high
23170,32,0.003,0.003,40.0,272.0,0.18111290237891267,0.5678131062825521,0.22063368835449218
23170,32,0.003,0.01,40.0,272.0,0.18127075005893187,0.568091748046875,0.22060974833170574
23170,32,0.003,0.03,40.0,272.0,0.18154285356260738,0.5688699218750001,0.22086632080078125
23170,45,0.003,0.0,40.0,272.0,0.15111576170135055,0.48350651855468746,0.1938292978922526
23170,45,0.003,1e-06,40.0,272.0,0.15111576170135055,0.48350651855468746,0.1938292978922526
23170,45,0.003,3e-06,40.0,272.0,0.15111576170135055,0.48350651855468746,0.1938292978922526
23170,45,0.003,1e-05,40.0,272.0,0.1511221520249774,0.48350735473632817,0.19381788431803385
23170,45,0.003,3e-05,40.0,272.0,0.15112332374350987,0.48350764160156245,0.1938159250895182
23170,45,0.003,0.0001,40.0,272.0,0.15112160861928117,0.4835091349283854,0.1938207061767578
23170,45,0.003,0.0003,40.0,272.0,0.1511326237286917,0.48351485188802085,0.19380530802408855
23170,45,0.003,0.001,40.0,272.0,0.15115178567818843,0.4835355000813802,0.19378922424316405
23170,45,0.003,0.003,40.0,272.0,0.15117380050759036,0.4835934855143229,0.19380500895182293
23170,45,0.003,0.01,40.0,272.0,0.1512448407196479,0.4838047566731771,0.1938801015218099
23170,45,0.003,0.03,40.0,272.0,0.15146747679286995,0.4843932474772135,0.19404181620279948
23170,64,0.003,0.0,40.0,272.0,0.12320422057658291,0.41297465006510414,0.17680169372558593
23170,64,0.003,1e-06,40.0,272.0,0.12320422057658291,0.41297465006510414,0.17680169372558593
23170,64,0.003,3e-06,40.0,272.0,0.12320422057658291,0.41297465006510414,0.17680169372558593
23170,64,0.003,1e-05,40.0,272.0,0.12320716685434212,0.4129752176920573,0.1767966135660807
23170,64,0.003,3e-05,40.0,272.0,0.12320408578649812,0.4129754109700521,0.17680271301269532
23170,64,0.003,0.0001,40.0,272.0,0.12324462629251615,0.41297490234374995,0.17672449137369792
23170,64,0.003,0.0003,40.0,272.0,0.12321424757915128,0.4129818603515625,0.17678968302408857
23170,64,0.003,0.001,40.0,272.0,0.12323561339960157,0.4129948282877604,0.1767616943359375
23170,64,0.003,0.003,40.0,272.0,0.12326674407182539,0.4130340311686198,0.17674122212727864
23170,64,0.003,0.01,40.0,272.0,0.1232037992249005,0.41318306274414063,0.17701091410319011
23170,64,0.003,0.03,40.0,272.0,0.12346642656107858,0.4135574890136719,0.1768819040934245
23170,91,0.003,0.0,40.0,272.0,0.11008821028529397,0.3825154866536458,0.171484907023112
23170,91,0.003,1e-06,40.0,272.0,0.11008821028529397,0.3825154866536458,0.171484907023112
23170,91,0.003,3e-06,40.0,272.0,0.11008821028529397,0.3825154866536458,0.171484907023112
23170,91,0.003,1e-05,40.0,272.0,0.11006252587543375,0.3825158671061198,0.1715345225016276
23170,91,0.003,3e-05,40.0,272.0,0.11006162957443677,0.3825159810384115,0.17153635457356772
23170,91,0.003,0.0001,40.0,272.0,0.11008929125932057,0.3825167928059896,0.17148414103190102
23170,91,0.003,0.0003,40.0,272.0,0.11016992810088035,0.3825196594238281,0.17133243306477863
23170,91,0.003,0.001,40.0,272.0,0.11015070724705521,0.3825266479492188,0.1713762664794922
23170,91,0.003,0.003,40.0,272.0,0.11033639757030043,0.38254378051757815,0.17103744506835938
23170,91,0.003,0.01,40.0,272.0,0.11031400012809876,0.38263249918619796,0.17116909790039062
23170,91,0.003,0.03,40.0,272.0,0.1103641791865195,0.38286031290690103,0.17130072224934897
23170,128,0.003,0.0,40.0,272.0,0.09726953657302453,0.3483734924316406,0.16191531829833986
23170,128,0.003,1e-06,40.0,272.0,0.09726953657302453,0.3483734924316406,0.16191531829833986
23170,128,0.003,3e-06,40.0,272.0,0.09726953657302453,0.3483734924316406,0.16191531829833986
23170,128,0.003,1e-05,40.0,272.0,0.0972647682411072,0.3483737487792969,0.16192471516927084
23170,128,0.003,3e-05,40.0,272.0,0.0972480046529816,0.3483738199869792,0.16195692087809244
23170,128,0.003,0.0001,40.0,272.0,0.09726630585634626,0.34837428588867186,0.16192230478922526
23170,128,0.003,0.0003,40.0,272.0,0.09730650726447379,0.3483751444498698,0.16184610036214195
23170,128,0.003,0.001,40.0,272.0,0.0971825587601131,0.34838223673502605,0.16209079233805337
23170,128,0.003,0.003,40.0,272.0,0.0973452259816685,0.3483982645670573,0.16179499969482422
23170,128,0.003,0.01,40.0,272.0,0.09742316118416637,0.34844795532226563,0.16169529469807942
